"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HHDWM9B4","journalArticle","1994","Gahinet, Pascal; Apkarian, Pierre","A linear matrix inequality approach toH∞ control","International Journal of Robust and Nonlinear Control","","10498923, 10991239","10.1002/rnc.4590040403","http://doi.wiley.com/10.1002/rnc.4590040403","","1994","2017-02-15 18:09:28","2017-02-15 18:09:28","2017-01-21","421–448","","4","4","","","","","","","","","","en","","","","","","","","","/home/cezar/Documents/Zotero/storage/2BM6JPSG/Gahinet and Apkarian - 1994 - A linear matrix inequality approach toH∞ control.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6CP7KE2","journalArticle","2009","Udengaard, Martin; Iagnemma, Karl","Analysis, Design, and Control of an Omnidirectional Mobile Robot in Rough Terrain","Journal of Mechanical Design","","10500472","10.1115/1.4000214","http://MechanicalDesign.asmedigitalcollection.asme.org/article.aspx?articleid=1472601","","2009","2017-02-15 18:09:26","2017-02-15 18:09:26","2016-11-05","121002","","12","131","","","","","","","","","","en","","","","","","","","","/home/cezar/Documents/Zotero/storage/B24CZ4X2/Udengaard and Iagnemma - 2009 - Analysis, Design, and Control of an Omnidirectiona.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D48GBXC5","book","1987","Francis, Bruce A.","A course in H control theory","","978-3-540-17069-3 978-0-387-17069-5","","","","","1987","2017-02-15 18:09:25","2017-02-15 18:09:25","","","","","","","","","Lecture notes in control and information sciences","88","","","Springer","Berlin","eng","","","","","","","","","/home/cezar/Documents/Zotero/storage/K6BI9BEJ/Francis - 1987 - A course in H control theory.pdf","","H [infinity symbol] control; Kontrolltheorie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SF3A5FBM","journalArticle","2013","AUGELLO, LORENZO L.; ARAÚJO, HUMBERTO X.; CONCEIÇÃO, ANDRÉ GS","CONTROLE Hinf APLICADO A UM ROBÔ OMNIDIRECIONAL","","","","","http://www.sbai2013.ufc.br/pdfs/5754.pdf","","2013","2017-02-15 18:09:24","2018-05-07 14:31:16","2016-11-03","","","","","","","","","","","","","","pt","","","","","","","","","/home/cezar/Documents/Zotero/storage/BS2WDSRX/AUGELLO et al_CONTROLE H∞ APLICADO A UM ROBÔ OMNIDIRECIONAL.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QCTEW3PG","journalArticle","2014","Barreto S., Julio Cesar Lins; Conceição, Andre Gustavo Scolari; Dorea, Carlos E. T.; Martinez, Luciana; de Pieri, Edson Roberto","Design and Implementation of Model-Predictive Control With Friction Compensation on an Omnidirectional Mobile Robot","IEEE/ASME Transactions on Mechatronics","","1083-4435, 1941-014X","10.1109/TMECH.2013.2243161","http://ieeexplore.ieee.org/document/6461945/","","2014","2017-08-04 23:32:05","2017-08-08 03:13:27","2017-08-04 23:32:05","467-476","","2","19","","","","","","","","","","en","","","","","CrossRef","","","","/home/cezar/Documents/Zotero/storage/TGTJ8FGT/Barreto S. et al. - 2014 - Design and Implementation of Model-Predictive Cont.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V9CAS336","document","1998","Olsson, H.; Gäfvert, M.; Lischinsky, P.; Wit, C. Canudas de; Åström, K.J.","Friction Models and Friction Compensation","","","","","","","1998","2017-07-12 12:29:27","2017-08-08 00:49:02","","","","","","","","","","","","","","","en","","","","","","","","","/home/cezar/Documents/Zotero/storage/XPN9PWQE/H. Olsson† et al. - 1998 - Friction Models and Friction Compensation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DSA9QZAZ","document","2014","Santos, Jovelino Torres dos","Projeto e Desenvolvimento De Um Sistema De Controle Embarcado Aplicado a Robótica Móvel","","","","","","","2014","2017-07-10 13:43:45","2017-07-10 13:53:33","","","","","","","","","","","","","","","pt","","","","","","","","","/home/cezar/Documents/Zotero/storage/6NNKP36V/Santos - 2014 - Projeto e Desenvolvimento De Um Sistema De Control.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CSQRWAH4","document","2016","Santos, Jessivaldo; Conceição, André G. S.; Santos, Tito L. M.; Araújo, Humberto X.","Remote Control of an Omnidirectional Mobile Robot with Time-Varying Delay and Noise Attenuation","","","","","","","2016","2017-07-03 21:56:37","2017-07-06 04:29:29","","","","","","","","","","","","","","","en","","","","","","","","","/home/cezar/Documents/Zotero/storage/KWK83ZIM/CEP.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WM6HQDNJ","journalArticle","2016","Conceição, Andre G. S.; Correia, Mariane D.; Martinez, Luciana","Modeling and friction estimation for wheeled omnidirectional mobile robots","Robotica","","0263-5747, 1469-8668","10.1017/S0263574715000065","http://www.journals.cambridge.org/abstract_S0263574715000065","","2016-09","2017-07-03 21:55:53","2017-07-06 04:17:43","2017-07-03 21:55:53","2140-2150","","09","34","","","","","","","","","","en","","","","","CrossRef","","","","/home/cezar/Documents/Zotero/storage/ZVCEU88F/Conceicao et al. - 2016 - Modeling and friction estimation for wheeled omnid.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IFYS9TI","journalArticle","","Apkarian, Pierre; Noll, Dominikus","The H∞ control problem is solved","","","","","https://www.math.univ-toulouse.fr/~noll/PAPERS/solved.pdf","","","2017-01-21 01:03:15","2020-03-24 22:33:55","2017-01-21 01:03:15","","","","","","","","","","","","","","","","","","","Google Scholar","","tex.ids: apkarianControlProblemSolved","","/home/cezar/Documents/Zotero/storage/UZAGQDE2/Apkarian and Noll - The H∞ control problem is solved.pdf; /home/cezar/Documents/Zotero/storage/IPBD3VK3/Apkarian and Noll - The H∞ control problem is solved.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFT8PTFQ","journalArticle","1989","Doyle, John C.; Glover, Keith; Khargonekar, Pramod P.; Francis, Bruce A.","State-space solutions to standard H2 and H∞ control problems","IEEE Transactions on Automatic Control","","0018-9286","","http://resolver.caltech.edu/CaltechAUTHORS:DOYieeetac89","Simple state-space formulas are derived for all controllers solving the following standard H∞ problem: For a given number γ>0, find all controllers such that the H∞ norm of the closed-loop transfer function is (strictly) less than γ. It is known that a controller exists if and only if the unique stabilizing solutions to two algebraic Riccati equations are positive definite and the spectral radius of their product is less than γ2. Under these conditions, a parameterization of all controllers solving the problem is given as a linear fractional transformation (LFT) on a contractive, stable, free parameter. The state dimension of the coefficient matrix for the LFT, constructed using the two Riccati solutions, equals that of the plant and has a separation structure reminiscent of classical LQG (i.e. H2) theory. This paper is intended to be of tutorial value, so a standard H2 solution is developed in parallel.","1989-08","2017-02-07 17:04:48","2020-03-24 22:33:53","","831-847","","8","34","","","","","","","","","","","","","","","authors.library.caltech.edu","","tex.ids: doyleStatespaceSolutionsStandard1989","","/home/cezar/Documents/Zotero/storage/2R8ADU7I/Doyle et al. - 1989 - State-space solutions to standard H2 and H∞ contro.pdf; /home/cezar/Documents/Zotero/storage/T6IF6PZT/Doyle et al. - 1989 - State-space solutions to standard H2 and H∞ contro.pdf; /home/cezar/Documents/Zotero/storage/6V8TMQRE/3087.html; /home/cezar/Documents/Zotero/storage/YVW24SL8/3087.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8YVLVIUP","journalArticle","1999","Chilali, Mahmoud; Gahinet, Pascal; Apkarian, Pierre","Robust Pole Placement in LMI Regions","IEEE Transactions on Automatic Control","","","","","This paper discusses analysis and synthesis techniques for robust pole placement in LMI regions, a class of convex regions of the complex plane that embraces most practically useful stability regions. The focus is on linear systems with static uncertainty on the state matrix. For this class of uncertain systems, the notion of quadratic stability and the related robustness analysis tests are generalized to arbitrary LMI regions. The resulting tests for robust pole clustering are all numerically tractable since they involve solving linear matrix inequalities (LMIs), and cover both unstructured and parameter uncertainty. These analysis results are then applied to the synthesis of dynamic output-feedback controllers that robustly assign the closed-loop poles in a prescribed LMI region. With some conservatism, this problem is again tractable via LMI optimization. In addition, robust pole placement can be combined with other control objectives such as H 2 or H1 performance to capture realist...","1999","2017-02-05 21:04:06","2020-03-24 22:33:50","","2257–2270","","","44","","","","","","","","","","","","","","","CiteSeer","","tex.ids: chilaliRobustPolePlacement1999","","/home/cezar/Documents/Zotero/storage/CI64VUS2/Chilali et al. - 1999 - Robust Pole Placement in LMI Regions.pdf; /home/cezar/Documents/Zotero/storage/GPAS36NX/Chilali et al. - 1999 - Robust Pole Placement in LMI Regions.pdf; /home/cezar/Documents/Zotero/storage/X9VEN2IZ/summary.html; /home/cezar/Documents/Zotero/storage/J2LZ6UWW/summary.html; /home/cezar/Documents/Zotero/storage/74XJ2VDW/Robust Pole Placement in LMI Regions.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZINBBCM","book","2004","Mackenroth, Uwe","Robust Control Systems","","978-3-642-05891-2 978-3-662-09775-5","","","http://link.springer.com/10.1007/978-3-662-09775-5","","2004","2016-11-22 12:06:24","2020-03-24 22:33:49","2016-11-22 12:06:24","","","","","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","CrossRef","","tex.ids: mackenrothRobustControlSystems2004","","/home/cezar/Documents/Zotero/storage/8G64RNCN/Mackenroth - 2004 - Robust Control Systems.pdf; /home/cezar/Documents/Zotero/storage/XBXDIHAD/Mackenroth - 2004 - Robust Control Systems.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXH3HUF3","book","2005","Gu, Da-Wei; Petkov, P. Hr; Konstantinov, M. M.","Robust control design with MATLAB","","978-1-85233-983-8","","","","","2005","2016-11-12 07:58:02","2020-03-24 22:33:48","","","389","","","","","","Advanced textbooks in control and signal processing","","","","Springer","London","","","","","","Library of Congress ISBN","TJ217.2 .G8 2005","OCLC: ocm58830416 tex.ids: guRobustControlDesign2005","","/home/cezar/Documents/Zotero/storage/SEG5VGIV/Gu et al_2005_Robust control design with MATLAB.pdf; /home/cezar/Documents/Zotero/storage/W7Q5FTID/Gu et al_2005_Robust control design with MATLAB.pdf","","Control theory; MATLAB; Robust control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CX9959N5","book","1996","Zhou, Kemin; Doyle, John Comstock; Glover, Keith; others","Robust and optimal control","","","","","http://www.ulb.tu-darmstadt.de/tocs/109091736.pdf","","1996","2016-11-29 14:28:08","2020-03-24 22:33:47","2016-11-29 14:28:08","","","","40","","","","","","","","Prentice hall New Jersey","","","","","","","Google Scholar","","tex.ids: zhouRobustOptimalControl1996","","/home/cezar/Documents/Zotero/storage/RUGUW2WF/Zhou et al. - 1996 - Robust and optimal control.pdf; /home/cezar/Documents/Zotero/storage/TB4X7JIB/Zhou et al. - 1996 - Robust and optimal control.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9UG3J2CP","book","2006","Spong, Mark W.; Hutchinson, Seth; Vidyasagar, M.","Robot modeling and control","","978-0-471-64990-8","","","","","2006","2016-11-29 14:30:04","2020-03-24 22:33:44","","","478","","","","","","","","","","John Wiley & Sons","Hoboken, NJ","","","","","","Library of Congress ISBN","TJ211.35 .S75 2006","OCLC: ocm61458391 tex.ids: spongRobotModelingControl2006","","/home/cezar/Documents/Zotero/storage/VMX52M65/Spong et al. - 2006 - Robot modeling and control.pdf; /home/cezar/Documents/Zotero/storage/332H9493/Spong et al. - 2006 - Robot modeling and control.pdf","","Control systems; Robotics; Robots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97FSAC3W","journalArticle","2009","Conceicao, A.S.; Moreira, A.P.; Costa, P.J.","Practical Approach of Modeling and Parameters Estimation for Omnidirectional Mobile Robots","IEEE/ASME Transactions on Mechatronics","","1083-4435, 1941-014X","10.1109/TMECH.2009.2013615","http://ieeexplore.ieee.org/document/4797830/","","2009-06","2016-11-12 02:44:23","2020-03-24 22:33:40","2016-11-12 02:44:23","377-381","","3","14","","","","","","","","","","","","","","","CrossRef","","tex.ids: conceicaoPracticalApproachModeling2009","","/home/cezar/Documents/Zotero/storage/9J738E48/Conceicao et al_2009_Practical Approach of Modeling and Parameters Estimation for Omnidirectional.pdf; /home/cezar/Documents/Zotero/storage/J4623PAF/Conceicao et al_2009_Practical Approach of Modeling and Parameters Estimation for Omnidirectional.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RJD2HX4","journalArticle","2013","Conceição, Andre; Dourado Correia, Mariane; Martinez, Luciana","MODELAGEM DE ROBÔS MÓVEIS COM RODAS OMNIDIRECIONAIS INCLUINDO MODELOS ESTÁTICOS DE ATRITO.pdf","","","","","http://www.sbai2013.ufc.br/pdfs/4734.pdf","","2013","2016-11-12 04:23:13","2020-03-24 22:33:39","","","","","","","","","","","","","","","","","","","","","","tex.ids: conceicaoMODELAGEMROBOSMOVEIS2013","","/home/cezar/Documents/Zotero/storage/XNQRVHUE/Conceição et al_MODELAGEM DE ROBÔS MÓVEIS COM RODAS OMNIDIRECIONAIS INCLUINDO MODELOS ESTÁTICOS.pdf; /home/cezar/Documents/Zotero/storage/KXTNPJVC/Conceição et al_MODELAGEM DE ROBÔS MÓVEIS COM RODAS OMNIDIRECIONAIS INCLUINDO MODELOS ESTÁTICOS.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4M28TAKN","book","1994","","Linear matrix inequalities in system and control theory","","978-0-89871-334-3","","","","","1994","2016-11-05 23:32:50","2020-03-24 22:33:35","","","193","","","","","","SIAM studies in applied mathematics","vol. 15","","","Society for Industrial and Applied Mathematics","Philadelphia","","","","","","Library of Congress ISBN","QA402.3 .L489 1994","tex.ids: boydLinearMatrixInequalities1994","","/home/cezar/Documents/Zotero/storage/QZCNBZPE/Boyd_1994_Linear matrix inequalities in system and control theory.pdf; /home/cezar/Documents/Zotero/storage/8XSSTRMU/Boyd_1994_Linear matrix inequalities in system and control theory.pdf","","Control theory; Mathematical optimization; Matrix inequalities","","Boyd, Stephen P.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V6SJZD2G","book","2011","Siegwart, Roland; Nourbakhsh, Illah Reza; Scaramuzza, Davide","Introduction to autonomous mobile robots","","978-0-262-01535-6","","","","","2011","2016-11-05 21:35:40","2020-03-24 22:33:34","","","453","","","","","","Intelligent robotics and autonomous agents","","","","MIT Press","Cambridge, Mass","","","","","","Library of Congress ISBN","TJ211.415 .S54 2011","OCLC: ocn649700153 tex.ids: siegwartIntroductionAutonomousMobile2011","","/home/cezar/Documents/Zotero/storage/K8AI7QZU/Siegwart et al_2011_Introduction to autonomous mobile robots.pdf; /home/cezar/Documents/Zotero/storage/SPKDI4SS/Siegwart et al_2011_Introduction to autonomous mobile robots.pdf","","Autonomous robots; Mobile robots","","","","","","","","","","","","","","","","","","","","","2nd ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85QUXCS8","journalArticle","2002","De Oliveira, M. C.; Geromel, J. C.; Bernussou, J.","Extended H 2 and H norm characterizations and controller parametrizations for discrete-time systems","International Journal of Control","","0020-7179, 1366-5820","10.1080/00207170210140212","http://www.tandfonline.com/doi/abs/10.1080/00207170210140212","","2002-01","2016-11-05 23:43:24","2020-03-24 22:33:29","2016-11-05 23:43:24","666-679","","9","75","","","","","","","","","","en","","","","","CrossRef","","tex.ids: deoliveiraExtendedNormCharacterizations2002","","/home/cezar/Documents/Zotero/storage/EDSTE9EE/De Oliveira et al_2002_Extended H 2 and H norm characterizations and controller parametrizations for.pdf; /home/cezar/Documents/Zotero/storage/MGCE5BED/De Oliveira et al_2002_Extended H 2 and H norm characterizations and controller parametrizations for.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
